nw,completion_time
1,1031791
2,528991
3,455867
4,300073
5,272971
6,259289
7,218913
8,199732
9,156125
10,171782
11,147726
12,132635
13,107940
14,116417
15,123096
16,120842
17,116566
18,113018
19,104718
20,109215
21,92612
22,90602
23,97262
24,81698
25,87503
26,89426
27,87954
28,82917
29,83687
30,78359
31,79030
32,77403
33,90478
34,81189
35,80956
36,76757
37,74958
38,71829
39,76525
40,74675
41,77540
42,80516
43,79069
44,79737
45,75359
46,67599
47,84074
48,80605
49,74539
50,76275
51,79093
52,70609
53,73228
54,73485
55,83124
56,72989
57,85349
58,69765
59,80855
60,72855
61,79704
62,78068
63,78122
64,76230
65,76215
66,79508
67,79349
68,80281
69,84862
70,84012
71,76962
72,79605
73,80000
74,76648
75,85965
76,81826
77,87619
78,87348
79,82943
80,93150
81,85174
82,87596
83,80404
84,88499
85,90288
86,83412
87,84857
88,88554
89,82424
90,83950
91,105502
92,93500
93,93664
94,85294
95,90835
96,97376
97,92486
98,102493
99,90654
100,94143
101,109571
102,109788
103,91550
104,88053
105,94318
106,93314
107,95985
108,99524
109,86427
110,96444
111,103506
112,104867
113,105243
114,99008
115,100347
116,92067
117,105296
118,98311
119,111905
120,114996
121,111342
122,112200
123,103396
124,109701
125,116058
126,100706
127,97281
128,117956
129,100307
130,126864
131,109925
132,114842
133,104031
134,111685
135,112449
136,110929
137,103498
138,117049
139,118166
140,118100
141,117878
142,125271
143,104392
144,110292
145,99311
146,116819
147,121219
148,101512
149,102047
150,106891
151,122400
152,121458
153,122019
154,123886
155,129548
156,120100
157,121728
158,112003
159,122882
160,125788
161,118057
162,130818
163,127714
164,141779
165,116268
166,114483
167,132620
168,118267
169,121784
170,125951
171,131444
172,129881
173,124902
174,119991
175,137887
176,128399
177,139371
178,135276
179,121598
180,127413
181,130022
182,140019
183,125499
184,135050
185,134443
186,162722
187,146899
188,134257
189,143001
190,122468
191,122016
192,121423
193,137524
194,153873
195,156689
196,126087
197,139341
198,141745
199,147302
200,134324
201,156382
202,127688
203,138723
204,129693
205,135861
206,133924
207,146714
208,128184
209,176269
210,125756
211,137422
212,146913
213,130474
214,141621
215,158415
216,149267
217,155278
218,155322
219,130544
220,146153
221,130185
222,156140
223,149224
224,146155
225,151082
226,144164
227,147420
228,136598
229,152487
230,141345
231,148502
232,153385
233,130887
234,158556
235,131719
236,151863
237,166772
238,156561
239,136915
240,156938
241,142266
242,141895
243,164570
244,147108
245,154927
246,156410
247,153887
248,165228
249,161600
250,168816
251,158387
252,156250
253,189209
254,148946
255,154043
256,140924
